state,test_id,recall_vote,district,census_fips,ca_race,ca_gender,ca_partyaffiliation,ca_voterstatus,ca_age,co_find,di_statehousedistrict,di_uniqueprecinctcode,es_genrate,es_anyprimary,hh_totalpersons,hh_totalhh2s,hh_ageavg,hh_children,hh_white,hh_black,hh_asian,hh_hispanic,hh_otherrace,hh_dems,hh_reps,hh_type,hh_partisanbehave,sy_marriagescore,sy_educscore,sy_gunscore,ac_pctwhite,ac_pctblack,ac_pctindianalaskan,ac_pctasian,ac_pcthawaiianpacific,ac_pctotherrace,ac_pcthispaniclatino,ac_pctnonenglishspkrs,ac_pctalternativeworkschedule,ac_pctgraduatedegree,ac_pctarmedforces,ac_pctveterans,ac_pctpublicassistance,ac_pcthhsincome200kplus,ac_medianhhincome,sy_partisanscore2012,sy_voteprop2012,sy_ideologymodel,density_cluster,member_type_status,afl_mem
CO,729323,No,03,08041001600,C,F,DEM,A,58,8000,46,3035e6,0.8118,Y,2,2,43.5,0,2,0,0,0,0,1,0,GN,DO,0.173,0.465,0.121,0.858072,0,0,0.040087,0,0.03467,0.067172,0.099494,0.079787,0.168487,0.006183,0.116038,0.030354,0,31153,99.12,91.6,81.4,Suburban,NA,0
CO,2907450,No,03,08101002908,C,F,DEM,A,51,137000,46,3035e6,0.5391,N,5,2,47.5,0,5,0,0,0,0,2,2,MN,DR,0.873,0.544,0.281,0.581215,0,0.001209,0.002578,0,0.004788,0.40884,0.095472,0.041406,0.106081,0.017495,0.12979,0.036417,0,43827,97.04,87.1,70.1,Rural,NA,0
CO,3927530,No,03,08101001100,C,F,NPA,A,28,5000,62,3036e6,0.5391,N,1,1,28,0,1,0,0,0,0,0,0,S,O,0.142,0.291,0.14,0.152758,0,0.012126,0,0,0,0.835926,0.423529,0.261128,0.022472,0,0.159653,0.039216,0,40917,91.47,69.8,67.3,Suburban,NA,0
CO,2246823,Yes,03,08101000902,H,M,REP,A,36,102000,47,3035e6,0.7909,N,3,2,37,1,1,0,0,2,0,0,2,MC,R,0.953,0.512,0.515,0.487371,0.089336,0.012713,0.004677,0,0.027596,0.39102,0.190789,0.100248,0.066917,0.006118,0.19557,0.098684,0.019737,46613,3.16,95.5,22,Suburban,NA,0
CO,194261,Yes,03,UNKNOWN,H,F,DEM,A,59,NA,62,3036e6,0.0895,N,2,1,59.5,NA,0,1,0,1,0,2,0,O,D,0.917,0.253,0.276,0.562029,0.015304,0.008029,0.0068,7.93e-4,0.017027,0.392064,0.198371,0.121496,0.071661,0.001809,0.150632,0.087615,0.018025,40805,90.73,34.2,58.5,NA,NA,0
CO,483768,DK,03,08101000902,C,F,NPA,A,31,31000,47,3035e6,0.1866,N,4,4,48.75,0,4,0,0,0,0,3,0,GN,DO,0.364,0.443,0.161,0.487371,0.089336,0.012713,0.004677,0,0.027596,0.39102,0.190789,0.100248,0.066917,0.006118,0.19557,0.098684,0.019737,46613,65.01,89.3,59.6,Suburban,NA,0
CO,3290547,Yes,03,08101002801,H,F,REP,A,77,20000,46,3035e6,0.0994,N,3,2,56.33,2,1,0,0,2,0,0,3,MC,R,0.442,0.135,0.203,0.460883,0.068939,0.009282,0,0,0.039504,0.392719,0.244589,0.098765,0.21164,0.006841,0.143401,0.028139,0.080087,71250,12.07,30.5,44.3,Suburban,NA,0
CO,3146283,DK,03,08101002600,C,F,NPA,I,59,5000,46,3035e6,0.0994,N,2,2,75.5,0,2,0,0,0,0,1,0,GN,DO,0.132,0.204,0.156,0.320694,0.012211,0.006999,0,0,0.031491,0.618895,0.300813,0.381818,0.011962,0,0.14273,0.190244,0,16993,89.11,47.2,55.5,Suburban,NA,0
CO,882991,No,03,08101002802,C,F,REP,A,49,5000,46,3035e6,0.0918,N,2,2,39.5,0,1,0,0,1,0,1,1,GN,DR,0.288,0.364,0.277,0.869392,0,0.003046,0.00997,0,0,0.120638,0.048309,0.040909,0.112952,0,0.156514,0.024155,0,64891,12.92,63.4,42.7,Suburban,NA,0
CO,2589770,Yes,03,08101002903,C,M,REP,A,31,77000,47,3035e6,0.2738,Y,2,1,31.5,0,2,0,0,0,0,0,2,MN,R,0.935,0.473,0.444,0.57013,0,0.012511,0.005531,0,0.008692,0.408534,0.183985,0.146035,0.083724,0.002891,0.16703,0.085796,0.007626,50657,2.11,93.8,20.4,Suburban,NA,0
CO,4965512,No,03,08101000905,B,M,DEM,A,62,7000,47,3035e6,0.232,N,3,3,49.67,0,1,1,0,1,0,3,0,GN,D,0.299,0.406,0.323,0.369032,0,0.004693,0.027097,0,0.012903,0.590968,0.375321,0.034137,0.065173,0,0.045957,0.089974,0.017995,41893,97.75,53.1,61.1,Suburban,NA,0
CO,1396892,No,03,08031004306,C,F,DEM,A,75,26000,46,3035e6,0.9539,Y,3,2,76.33,0,2,0,0,1,0,3,0,GN,D,0.721,0.425,0.102,0.859351,0.102782,0,0,0,0.009274,0.028594,0.106509,0,0.337222,0,0.116947,0.02071,0.017751,42011,99.62,98.2,81.7,Urban,NA,0
CO,3472643,DK,03,08031003500,H,F,NPA,A,52,NA,62,3036e6,0.0217,N,5,4,55.2,0,2,0,0,3,0,4,0,GN,DO,0.228,0.279,0.199,0.104928,0.05971,0.025215,0.015652,0,0.056232,0.757101,0.627451,0.187688,0.030336,0,0.082111,0.12854,0,26250,85.11,28.1,54.2,Urban,NA,0
CO,1508937,Yes,03,08031002100,H,F,DEM,I,67,5000,47,3035e6,0.7608,Y,1,1,67,0,0,0,0,1,0,1,0,S,D,0.15,0.205,0.168,0.376877,0,0.036185,0,0,0.009009,0.614114,0.391137,0.261364,0.114086,0,0.041725,0.019268,0,51597,97.58,82.4,70,Urban,NA,0
CO,1312584,No,03,08031011902,C,M,NPA,A,34,22000,47,3035e6,0.2872,N,1,1,34,0,1,0,0,0,0,0,0,S,O,0.198,0.289,0.438,0.515454,0,0,0,0,0.032901,0.451645,0.318707,0.151515,0.168675,0,0.117313,0,0,31948,64.06,30.5,49.4,Urban,NA,0
CO,4376059,Yes,03,08101002700,C,F,REP,A,28,38000,46,3035e6,0.8212,Y,2,1,28,0,2,0,0,0,0,0,1,O,R,0.63,0.445,0.285,0.340956,0,0,0.143451,0,0,0.515593,0.298578,0.269231,0.043676,0,0.204481,0.113744,0,40568,1.45,92.1,26.4,Suburban,NA,0
CO,491438,Yes,03,08101000902,C,F,REP,A,26,23000,62,3036e6,0.1864,Y,2,2,27,0,2,0,0,0,0,0,2,O,R,0.429,0.398,0.188,0.487371,0.089336,0.012713,0.004677,0,0.027596,0.39102,0.190789,0.100248,0.066917,0.006118,0.19557,0.098684,0.019737,46613,8.3,95.1,37.5,Suburban,NA,0
CO,2411577,Yes,03,08029964900,C,F,REP,A,44,60000,47,3035e6,0.4698,N,16,10,56.57,0,14,0,0,2,0,7,5,GN,DR,0.408,0.314,0.398,0.623911,0,0,0.023717,0,0.009197,0.343175,0.227865,0.122652,0.096849,0,0.142447,0.138021,0,50514,8.51,63.1,39.4,Rural,NA,0
CO,4505287,No,03,08101000902,C,M,DEM,A,34,41000,62,3036e6,0.7097,Y,2,2,32.5,0,2,0,0,0,0,2,0,SS,D,0.236,0.447,0.398,0.656972,0,0.012713,0,0,0,0.331052,0.079914,0.235816,0.092055,0.006118,0.19557,0.064795,0,45913,97.1,87.8,70.2,Suburban,NA,0
CO,735133,Yes,03,08021974600,H,M,DEM,A,30,NA,47,3035e6,0.0166,N,4,4,34.67,0,2,0,0,2,0,2,0,GR,DO,0.606,0.249,0.533,0.424096,0,0.016867,0,0,0.028916,0.546988,0.390476,0,0.02,0,0.402857,0.190476,0,29071,93.52,32.6,57.1,Rural,NA,0
CO,4020120,Yes,03,08101002801,C,F,REP,A,69,64000,46,3035e6,0.7318,Y,3,2,79.33,0,3,0,0,0,0,0,3,MN,R,0.868,0.244,0.217,0.65704,0,0.009282,0.015644,0,0.050542,0.276775,0.150602,0.21547,0.080764,0.006841,0.143401,0,0,26447,1.95,97.9,20.3,Suburban,NA,0
CO,2655346,Yes,03,08101000600,C,M,DEM,I,37,8000,47,3035e6,0.3308,N,1,1,37,0,1,0,0,0,0,1,0,S,D,0.184,0.25,0.342,0.538554,0.006024,0.075574,0,0,0,0.33012,0.125,0.135542,0.003915,0,0.18011,0.073864,0,22803,89.72,40.2,54.9,Suburban,NA,0
CO,4289301,No,03,08101000500,C,F,LIB,A,28,8000,47,3035e6,0.0279,N,1,1,28,0,1,0,0,0,0,0,0,S,O,0.173,0.366,0.192,0.803204,0.020595,0.003167,0,0,0,0.176201,0.137931,0.061224,0.093948,0,0.12218999999999999,0,0.055172,34904,64.55,37.3,59.2,Suburban,NA,0
CO,1701221,Yes,03,08101002807,C,F,REP,A,49,5000,46,3035e6,0.7318,Y,2,1,36.5,0,2,0,0,0,0,0,2,GN,R,0.268,0.389,0.24,0.575455,0,0.003916,0.02922,0,0,0.395325,0.189036,0.130848,0.076963,0,0.112681,0.024575,0.016068,63804,3.62,97.9,21.8,Suburban,NA,0
CO,2495947,No,03,08101000500,C,F,DEM,A,31,44000,47,3035e6,0.4338,N,2,2,42,0,2,0,0,0,0,2,0,GN,D,0.165,0.571,0.122,0.776543,0,0.003167,0,0,0.019753,0.203704,0.137195,0.051447,0.097015,0,0.12218999999999999,0.02439,0.021341,44405,89.11,93.2,63.6,Suburban,NA,0
CO,1673265,Yes,03,08101002906,H,M,NPA,A,68,87000,46,3035e6,0.6098,N,2,1,68,0,1,0,0,1,0,0,0,O,O,0.4,0.502,0.428,0.774247,0,0.012415,0.009315,0,0.003836,0.194521,0.118168,0.084277,0.141703,0,0.159252,0,0.019202,85026,41.41,97.8,33.4,Rural,NA,0
CO,3782872,No,03,08003981700,C,F,DEM,A,32,241000,47,3035e6,0.7097,N,6,4,51.5,0,6,0,0,0,0,4,0,GN,D,0.794,0.532,0.191,0.278755,0,0.004029,0,0,0.021651,0.699594,0.472527,0.020921,0.053908,0,0.096977,0.376374,0,3851,98.19,95.2,76.3,Rural,Active,1
CO,32446,Yes,03,08101000500,H,M,NPA,A,63,35000,47,3035e6,0.912,Y,2,2,65.5,0,1,0,0,1,0,1,1,O,DR,0.416,0.415,0.431,0.803204,0.020595,0.003167,0,0,0,0.176201,0.137931,0.061224,0.093948,0,0.12218999999999999,0,0.055172,34904,19.41,90.4,26.1,Suburban,NA,0
CO,4169582,No,03,08013012105,C,F,DEM,A,29,8000,46,3035e6,0.3308,N,2,2,30,0,2,0,0,0,0,2,0,O,D,0.344,0.63,0.133,0.850927,0.007252,0.004734,0.04996,0,0.022562,0.069299,0.281192,0.054638,0.273429,0,0.050166,0,0.147114,80694,92.77,92.2,75,Suburban,NA,0
CO,162758,No,03,08101002804,C,M,DEM,A,40,23000,46,3035e6,0.0279,N,2,2,38.5,0,1,0,0,1,0,2,0,O,D,0.631,0.352,0.481,0.878822,0,0.006855,0,0,0.017897,0.093587,0.064912,0.154034,0.141703,0,0.16115,0,0,47294,92.02,76,63.2,Rural,NA,0
CO,4898418,DK,03,08101002804,C,F,DEM,A,58,52000,46,3035e6,0.9875,Y,5,1,38.2,0,5,0,0,0,0,2,2,MN,DR,0.875,0.501,0.564,0.878822,0,0.006855,0,0,0.017897,0.093587,0.064912,0.154034,0.141703,0,0.16115,0,0,47294,80.55,98.7,39.9,Rural,NA,0
CO,3967473,Yes,03,08101002905,C,M,REP,A,43,111000,47,3035e6,0.4888,Y,3,2,41.67,0,3,0,0,0,0,0,3,MN,R,0.956,0.462,0.684,0.910331,0,0.009702,0,0,0,0.089669,0.07234,0.043103,0.096685,0.012475,0.218229,0,0,56250,2.03,92.5,17.1,Rural,NA,0
CO,762882,No,03,08101002804,C,M,NPA,A,72,52000,46,3035e6,0.7371,Y,4,2,57.5,0,3,0,0,1,0,0,2,GN,RO,0.426,0.476,0.437,0.878822,0,0.006855,0,0,0.017897,0.093587,0.064912,0.154034,0.141703,0,0.16115,0,0,47294,39.28,90.7,41.8,Rural,NA,0
CO,771828,Yes,03,08101002903,C,F,REP,A,79,140000,47,3035e6,0.8364,Y,2,1,81,0,2,0,0,0,0,0,2,MN,R,0.859,0.359,0.258,0.608452,0.049645,0.012511,0.01773,0,0.020095,0.304078,0.188406,0.097651,0.070886,0.002891,0.16703,0.012681,0.006341,59922,2.1,98.7,18.4,Rural,NA,0
CO,3379783,DK,03,08101000500,C,F,NPA,A,77,70000,47,3035e6,0.8181,Y,1,1,77,0,1,0,0,0,0,0,0,S,DR,0.081,0.354,0.121,0.776543,0,0.003167,0,0,0.019753,0.203704,0.137195,0.051447,0.097015,0,0.12218999999999999,0.02439,0.021341,44405,78.34,93,63.3,Suburban,NA,0
CO,1264208,No,03,08031003902,C,F,DEM,A,59,32000,47,3035e6,0.8918,Y,5,3,51.8,0,5,0,0,0,0,3,0,MN,DO,0.75,0.512,0.19,0.89689700000000006,0,0,0.058058,0,0.012012,0.033033,0.22547,0,0.306804,0,0.072828,0.022965,0.141962,70188,99.78,90.2,84.2,Urban,NA,0
CO,3857115,No,03,08101001500,C,F,DEM,A,57,22000,46,3035e6,0.9718,Y,1,1,57,0,1,0,0,0,0,1,0,S,D,0.211,0.428,0.18,0.642495,0,0.009337,0,0,0.008702,0.348803,0.084691,0.095238,0.118005,0,0.149183,0.125407,0,33393,99.19,97.6,79.8,Suburban,NA,0
CO,367452,Yes,03,08059009824,H,F,DEM,A,28,36000,47,3035e6,0.1613,N,2,2,27,0,1,0,0,1,0,1,0,O,DO,0.258,0.412,0.196,0.715357,0,0,0.133833,0,0.015792,0.135018,0.221437,0.07747,0.141646,0.002243,0.109655,0.036514,0.010601,73250,93.53,62.5,69.7,Suburban,NA,0
CO,1426117,Yes,03,08101000300,H,F,REP,A,54,NA,46,3035e6,0.8364,Y,3,2,43.33,NA,2,0,0,1,0,0,2,GN,RO,0.932,0.322,0.28,0.494795,0.177534,0.017534,0.005479,0,0.006575,0.279452,0,0,0.018832,0,0.156937,0,0,0,2.67,96.4,24.2,Suburban,NA,0
CO,1531092,Yes,03,08101002802,C,F,NPA,A,51,6000,46,3035e6,0.6853,Y,1,1,51,0,1,0,0,0,0,1,0,S,D,0.226,0.288,0.236,0.467045,0.014883,0.003046,0,0,0,0.510985,0.215625,0.113971,0.052581,0,0.156514,0.059375,0,40563,77.06,77.2,49.7,Suburban,NA,0
CO,1655970,Yes,03,08101002901,C,F,NPA,I,30,52000,46,3035e6,0.0448,N,2,1,32.5,1,2,0,0,0,0,0,0,MC,O,0.882,0.322,0.301,0.315152,0.014141,0.009524,0.010101,0.014141,0,0.623232,0.336957,0.15625,0.023033,0.018206,0.164103,0.214674,0,23047,39.7,19,43.6,Rural,NA,0
CO,1924922,No,03,08101001600,C,F,DEM,A,64,14000,47,3035e6,0.8364,Y,3,1,61.33,0,3,0,0,0,0,2,0,GN,DO,0.422,0.379,0.171,0.703422,0,0,0,0,0.013308,0.28327,0.146154,0.379679,0.078431,0,0.185033,0,0,32386,99.13,98,79,Suburban,NA,0
CO,1123555,DK,03,08043978100,C,M,NPA,A,31,128000,46,3035e6,0.361,N,2,2,31,0,2,0,0,0,0,0,0,O,O,0.512,0.429,0.5,0.954643,0,0.018542,8.56e-4,0,0,0.017972,0.130851,0.063158,0.041472,0.001941,0.233394,0.08617,0,30682,96.15,83.6,62.6,Rural,NA,0
CO,2606208,Yes,03,08101002801,C,M,REP,A,25,34000,46,3035e6,0.4698,N,3,2,24.67,0,2,0,0,1,0,0,2,O,RO,0.844,0.227,0.411,0.65704,0,0.009282,0.015644,0,0.050542,0.276775,0.150602,0.21547,0.080764,0.006841,0.143401,0,0,26447,9.08,75.8,35.9,Suburban,NA,0
CO,3743179,DK,03,08101002907,C,M,NPA,I,39,72000,46,3035e6,0.0354,N,3,2,43.67,1,3,0,0,0,0,0,1,GN,RO,0.419,0.276,0.493,0.803915,0.037601,0.007771,0.010255,0,0.013362,0.134866,0.120758,0.097561,0.125109,0,0.200446,0,0.041831,73547,33.42,5,37.3,Rural,NA,0
CO,6988,No,03,08101002802,C,F,DEM,A,39,88000,46,3035e6,0.361,N,2,2,42,0,2,0,0,0,0,2,0,O,D,0.428,0.481,0.169,0.467045,0.014883,0.003046,0,0,0,0.510985,0.215625,0.113971,0.052581,0,0.156514,0.059375,0,40563,97.13,82.6,72,Suburban,NA,0
CO,2517751,No,03,08101002000,C,M,NPA,I,36,8000,46,3035e6,0.0918,N,2,2,36,0,2,0,0,0,0,0,0,SS,O,0.273,0.201,0.439,0.418758,0,0,0,0,0.063408,0.517834,0.258303,0.116279,0.02657,0,0.143967,0.372694,0,27516,60.06,9.1,49.1,Suburban,NA,0
CO,4239894,Yes,03,08101000400,C,F,DEM,A,54,44000,47,3035e6,0.3075,N,1,1,54,0,1,0,0,0,0,1,0,S,D,0.205,0.341,0.202,0.428788,0.009091,0,0,0,0.033333,0.528788,0.232283,0.105,0.048223,0,0.143635,0.122047,0,42857,94.15,75.5,64.7,Suburban,NA,0
CO,3050088,No,03,08101001700,C,F,NPA,I,32,96000,46,3035e6,0.3807,N,3,2,29,0,3,0,0,0,0,0,0,MN,O,0.924,0.61,0.185,0.822948,0.023556,0.004001,0,0,0.011398,0.142097,0.044369,0.155512,0.093933,0,0.133692,0.068259,0.018771,49432,31.26,80.5,45.9,Suburban,NA,0
CO,3729155,DK,03,08043978800,C,F,OTH,A,58,113000,46,3035e6,0.6853,Y,3,2,69.67,0,3,0,0,0,0,1,1,MN,DR,0.857,0.555,0.203,0.894939,0,0.009458,0.006135,0,0.004601,0.074387,0,0.116208,0.071698,0.003788,0.131092,0.016949,0.016949,38424,93.28,91.6,60.6,Rural,NA,0
CO,4346148,Yes,03,08035014110,C,M,REP,A,34,68000,46,3035e6,0.1864,N,311,216,47.99,3,206,12,0,91,2,146,50,GN,DR,0.44,0.477,0.367,0.82539,0.003666,0.001953,0.040788,0,0.065536,0.060037,0.117351,0.076806,0.133028,0,0.104694,0.065381,0.022632,48010,15.02,51.9,40.6,Suburban,NA,0
CO,818542,DK,03,08043978400,C,F,REP,A,91,NA,46,3035e6,0.7609,Y,2,2,91.5,NA,2,0,0,0,0,1,1,O,DR,0.171,0.164,0.131,0.961433,0,0.040265,0,0,0,0.038567,0.062147,0.056338,0.043299,0.006439,0.211353,0.228814,0,26250,6.23,96.3,32.3,Rural,NA,0
CO,2431034,Yes,03,08101002907,C,M,DEM,A,36,85000,47,3035e6,0.6853,Y,2,2,34,2,1,0,0,1,0,2,0,O,D,0.531,0.559,0.445,0.803915,0.037601,0.007771,0.010255,0,0.013362,0.134866,0.120758,0.097561,0.125109,0,0.200446,0,0.041831,73547,98.76,97.9,73.1,Rural,NA,0
CO,3624850,No,03,08101003200,C,M,REP,A,37,46000,47,3035e6,0.2545,Y,2,1,41,0,2,0,0,0,0,0,1,MN,R,0.836,0.428,0.589,0.808461,0,0,0.012926,0,0.132785,0.045828,0.063063,0.117647,0.050347,0,0.145695,0.03003,0.021021,51477,4.43,97.4,24.2,Rural,NA,0
CO,3075956,DK,03,08101000500,C,F,NPA,A,46,32000,47,3035e6,0.2518,N,3,3,70,0,2,0,0,1,0,1,0,GN,DO,0.154,0.433,0.203,0.776543,0,0.003167,0,0,0.019753,0.203704,0.137195,0.051447,0.097015,0,0.12218999999999999,0.02439,0.021341,44405,71.99,62.5,56.2,Suburban,NA,0
CO,4998799,Yes,03,08077001501,C,M,DEM,A,51,146000,62,3036e6,0.7609,Y,1,1,51,0,1,0,0,0,0,1,0,S,D,0.264,0.378,0.351,0.806795,0,0.010788,0.00431,0.002028,0.037272,0.141734,0.128855,0.103485,0.063343,0,0.129236,0.074023,0.038382,60199,98.63,47.1,73.1,Rural,Active,1
CO,2472255,Yes,03,08101002905,C,M,NPA,A,28,50000,47,3035e6,0.3679,N,5,4,35.25,0,5,0,0,0,0,0,1,MN,RO,0.392,0.326,0.35,0.867438,0.016014,0.009702,0.007117,0,0.024911,0.08452,0.085575,0.056911,0.051613,0.012475,0.218229,0,0.0489,69417,63.73,84.6,52.5,Rural,NA,0
CO,4454180,Yes,03,08101002905,C,M,DEM,A,29,22000,47,3035e6,0.1412,N,4,3,47.5,0,3,0,0,1,0,1,3,GN,DR,0.323,0.296,0.393,0.647551,0,0.009702,0,0,0.072879,0.27957,0.079545,0.099631,0.049541,0.012475,0.218229,0,0,87778,88.64,39.7,57.8,Rural,NA,0
CO,4852862,Yes,03,08101002300,C,F,REP,A,27,5000,46,3035e6,0.2872,N,1,1,27,0,1,0,0,0,0,0,1,S,R,0.074,0.271,0.116,0.520227,0.044003,0.003055,0.006388,0,0,0.429383,0.177116,0.351145,0.013115,0,0.179043,0.214734,0,23333,3.61,81.7,29.3,Suburban,NA,0
CO,1249881,No,03,08041000400,C,M,LIB,A,33,20000,46,3035e6,0.7909,N,5,5,45.2,0,4,0,0,1,0,0,0,GN,O,0.31,0.422,0.286,0.822188,0.013678,0,0,0,0.013678,0.150456,0.312121,0.028481,0.213389,0,0.2,0.054545,0,54773,17.75,90,33.3,Suburban,NA,0
CO,4584252,Yes,03,08101002907,C,F,REP,A,35,130000,46,3035e6,0.6225,Y,1,1,35,0,1,0,0,0,0,0,1,S,R,0.361,0.73,0.216,0.803915,0.037601,0.007771,0.010255,0,0.013362,0.134866,0.120758,0.097561,0.125109,0,0.200446,0,0.041831,73547,2.66,94.5,29.4,Rural,NA,0
CO,3385267,DK,03,08101001700,B,M,DEM,A,28,47000,46,3035e6,0.4132,N,1,1,28,0,0,1,0,0,0,1,0,S,D,0.111,0.353,0.245,0.703895,0,0.004001,0,0,0.013173,0.282932,0.092647,0.055156,0.067044,0,0.133692,0.038235,0.025,56354,99.21,86.8,62.9,Suburban,Active,1
CO,2389880,No,03,08101000904,C,F,DEM,A,44,15000,47,3035e6,0.7318,Y,1,1,44,0,1,0,0,0,0,1,0,S,D,0.231,0.515,0.174,0.393198,0.008353,0.004111,0.038186,0,0.02685,0.533413,0.199257,0.065126,0.068581,0,0.170822,0.257426,0,31061,93.47,98.5,72.7,Suburban,NA,0
CO,553020,Yes,03,08101000904,H,F,DEM,A,74,90000,47,3035e6,0.8118,Y,4,2,78,0,1,0,0,3,0,3,0,MN,D,0.862,0.411,0.196,0.649217,0.017809,0.004111,0,0,0.002698,0.320561,0.194915,0.092105,0.120073,0,0.170822,0.032203,0.028814,52679,94.09,98.4,68.2,Suburban,NA,0
CO,2943262,Yes,03,08101000800,C,F,REP,A,28,35000,62,3036e6,0.665,Y,5,3,52.8,0,5,0,0,0,0,2,1,MN,DR,0.709,0.352,0.249,0.113049,0.014432,0.004637,0,0,0.003007,0.869513,0.411871,0.255814,0.012332,0,0.082834,0.232014,0,40179,9.44,93.2,38.7,Suburban,HH,1
