state	test_id	member_type_status
CO	32240	Active
CO	4093047	HH
CO	5483	Retired
CO	2471482	Retired
CO	977923	HH
NC	3508504	Active
CO	3845663	Retired
CO	160557	HH
CO	4418811	HH
CO	781665	Active
CO	2811316	Active
MO	4010916	HH
CO	1966754	Active
CO	2193761	HH
MO	2563345	HH
CO	4973455	Active
CO	237970	Active
CO	3805607	HH
CO	3277281	HH
CO	2954481	HH
CO	4993664	Retired
CO	190367	HH
CO	3750970	Active
CO	3499359	Active
CO	4715303	Retired
MO	4426878	Active
MO	1801922	Active
CO	1892818	Active
CO	3819563	Retired
CO	4243876	Active
CO	946171	Active
CO	3116772	Active
CO	1975825	Retired
KS	1781814	Active
CO	855360	HH
CO	1232014	Active
CO	4513630	HH
CO	2192469	Retired
CO	161347	Active
CO	2276979	HH
CO	4223445	Active
CO	4223445	Active
CO	1312324	Active
CO	3538755	HH
CO	4463561	HH
CO	2945667	HH
CO	437272	HH
CO	2142869	Retired
CO	4018295	Active
CO	2126198	Active
CO	887955	Active
CO	1301428	Active
CO	2343460	Active
CO	205137	HH
CO	4857403	Retired
CO	2992489	Retired
CO	2242000	Active
CO	4671309	HH
CO	4285104	Retired
CO	2663645	HH
CO	2796681	Retired
CO	1407544	HH
CO	4179105	HH
CO	4517579	Active
CO	675585	Active
CO	2900435	Active
CO	3963915	Active
CO	54012	HH
CO	2224714	Active
CO	2963041	Active
CO	1157944	Active
CO	4589258	Active
CO	1903437	HH
CO	3796602	Active
CO	590864	Active
CO	3334221	Active
CO	1635819	HH
CO	3967915	Retired
CO	3061500	Active
CO	4017777	HH
MO	4362611	Active
CO	1022623	Active
CO	4100660	Active
MO	4259992	Active
CO	3412306	HH
CO	3119819	Active
CO	497996	Active
CO	3888165	Active
CO	2044891	HH
CO	3432086	Retired
CO	4551441	Retired
CO	1709025	Active
CO	4632137	HH
CO	2178963	Retired
CO	1679754	Retired
CO	4055917	Active
CO	1491344	HH
CO	709221	HH
CO	3812435	Retired
CO	2363026	HH
CO	1129197	Retired
CO	1233454	Active
CO	2714701	Retired
CO	1975959	HH
CO	3872991	HH
CO	241545	Active
CO	1961879	Retired
CO	1143569	Retired
CO	1143569	Active
CO	570847	HH
CO	2260390	Active
CO	3348720	Active
CO	1721151	Active
CO	2122170	Active
CO	2760458	Active
CO	4796288	HH
CO	3410375	HH
CO	1240707	Active
CO	3416406	Active
CO	4064754	Active
CO	733989	Retired
CO	369826	HH
CO	4263624	HH
CO	3214932	Retired
CO	4569894	Active
CO	2783239	Retired
CO	3328255	Active
CO	1032377	HH
CO	1673324	HH
CO	2830165	Active
CO	3034262	Active
MO	676014	HH
CO	4058968	Retired
CO	3535709	Active
CO	39017	Active
CO	3183861	Active
CO	4417301	HH
CO	3427578	Active
CO	1747575	Active
CO	121827	HH
CO	2164053	Active
CO	4703517	Active
CO	2997832	Active
CO	1463639	Retired
CO	2058347	HH
CO	2993157	HH
OH	4496296	HH
CO	123162	Active
CO	2672828	Active
CO	1551563	HH
CO	1119229	Active
CO	3377487	Active
CO	1179395	HH
CO	2504368	Active
CO	3608025	Active
CO	1085035	Active
CO	2495352	Active
CO	4659898	Retired
CO	4455338	Retired
CO	3913660	Retired
CO	383193	HH
MN	1694926	HH
CO	1894613	Active
CO	494596	Active
CO	4024124	Active
CO	2322758	HH
CO	2996455	Active
CO	750359	Active
CO	51935	Retired
CO	1705536	HH
CO	3453003	Retired
CO	2679148	HH
CO	2132234	HH
CO	3018135	Retired
CO	604603	Active
CO	3636198	HH
CO	1006851	HH
CO	2501927	Active
CO	3197500	HH
CO	499005	Active
CO	4069852	Active
CO	1439425	HH
CO	2127897	Active
CO	4048767	HH
CO	616914	Retired
CO	1729908	Active
CO	4684358	HH
CO	3961662	HH
CO	4906559	Active
WI	2215008	Active
CO	4116413	HH
CO	4356544	HH
CO	948302	Active
CO	4533319	Active
CO	1806138	Active
CO	2067951	HH
CO	4278334	HH
CO	3768548	Retired
CO	3311111	Active
CO	1127837	Active
CO	192190	Retired
CO	668856	Active
CO	108152	HH
CO	4574229	Active
CO	3386846	HH
CO	4322313	Active
CO	1851664	Active
MN	3171164	Active
CO	4087397	Active
CO	4936591	Active
CO	2961140	HH
CO	4972890	Retired
CO	3231389	Active
CO	4666603	Active
MN	3414043	Active
CO	2981909	Active
CO	3504054	Active
CO	328638	Active
CO	4903328	Active
CO	1338575	HH
MD	587367	HH
MD	184957	HH
CO	2399395	Retired
CO	4311056	Active
AZ	1965186	HH
CO	2893423	HH
CO	1637219	Active
CO	171549	HH
CO	4493386	Active
CO	4212685	Active
CO	3189355	Active
CO	335317	Active
CO	2425005	Active
CO	590608	Retired
CO	1854288	HH
CO	2966656	Retired
CO	3589494	HH
CO	4202730	Active
CO	2645910	Active
CO	2702838	HH
CO	3365603	Retired
CO	51223	HH
CO	3261445	HH
CO	4640009	HH
CO	1603486	Active
CO	1058915	HH
CO	580138	Retired
CO	1872560	Retired
MN	2435035	Retired
MN	2771541	Retired
CO	2794749	HH
CO	3333730	Retired
CO	4497565	Active
CO	1645835	Active
CO	2711563	Active
CO	2774679	HH
CO	465768	Retired
CO	1573068	Active
CO	1435803	Active
CO	1466296	Active
CO	3446881	HH
CO	376542	Retired
CO	662283	HH
CO	1952816	Retired
CO	1791748	Retired
CO	4718119	Retired
GA	3150022	Active
CO	2124961	HH
CO	3152602	Active
CO	57238	HH
CO	471000	Active
CO	3317466	Active
CO	1458064	HH
CO	1129145	Active
MI	4364150	Active
CO	3666750	Active
CO	3904869	Active
CO	261055	HH
CO	2572828	Active
IN	3327929	Active
CO	1300707	Active
	3119905	HH
MI	146751	Retired
CO	3626711	Active
CO	2116614	Active
CO	4324319	HH
CO	286747	Retired
CO	902825	HH
CO	4305375	Retired
MA	1998212	HH
CO	3652878	Active
CO	2429283	HH
CO	562337	Active
CO	1285664	HH
CO	4562278	Active
CO	3119489	HH
CO	609531	Retired
CO	2960548	Retired
CO	3526993	Active
CO	1705065	Retired
CO	2853964	HH
CO	2563574	Retired
CO	435427	HH
CO	3848925	Active
CO	2167903	Active
CO	2928926	HH
CO	3454981	Active
CO	635955	HH
CO	427265	Active
CO	3145902	Retired
CO	580699	HH
MI	2429276	HH
CO	4097154	Active
CO	4209111	HH
CO	3843473	HH
CO	2928956	Active
CO	3067152	Active
CO	3092243	HH
CO	3565406	Active
CO	1028872	Active
CO	4100805	Retired
MI	2436349	Retired
MI	4111228	HH
CO	2629681	HH
CO	1612790	Active
AZ	1553221	Active
CO	4139182	Active
CO	764997	HH
AR	566416	Active
CO	4607980	HH
CO	3827545	Active
CO	3873042	Active
CO	3072471	Active
CO	378207	Active
CO	378207	Active
CO	257155	Active
CO	1447484	Active
CO	143807	Retired
CO	3164186	Active
CO	638391	Active
CO	4582330	Active
CO	635883	Active
CO	1044149	Active
CO	1472021	Active
CO	2803156	Active
CO	3758366	HH
CO	128231	HH
MI	3603078	Active
CO	2529585	Active
CO	2335589	HH
CO	3601049	HH
CO	2234809	HH
CO	3898594	Active
CO	385770	Retired
CO	3815934	HH
CO	1419080	HH
CO	1870026	HH
CO	3814712	Active
CO	3786306	Active
CO	1305117	Retired
CO	4717702	Active
CO	540924	Retired
CO	15978	HH
CO	15978	Retired
CO	1043789	HH
CO	1100976	HH
CO	2286074	Active
CO	1697104	Retired
CO	1579146	HH
CO	2311628	Retired
CO	4581884	Retired
CO	3440039	HH
CO	921014	Retired
CO	3362095	Active
CO	88388	Active
CO	1356188	HH
CO	773278	Retired
CO	2525320	Retired
CO	3128028	Retired
CO	3384482	Active
CO	4865558	Active
CO	4220705	Active
CO	1584385	HH
CO	3935051	Active
CO	1209160	Active
CO	1844191	HH
CO	4465907	Active
CO	1447308	Retired
CO	1098693	Retired
CO	3251475	HH
CO	613060	Active
CO	1422209	Retired
KS	3900198	HH
CO	4113400	Retired
CO	2522198	Retired
CO	450299	Retired
CO	3316425	HH
CO	4038523	Active
CO	955576	Retired
CO	2439115	HH
CO	2922668	Retired
CO	1279197	HH
CO	1886120	HH
CO	4976448	HH
CO	2947536	Active
CO	1214235	Active
CO	2536000	HH
CO	3556171	Retired
CO	2037916	Retired
CO	345599	Retired
CO	3221232	HH
CO	2641767	HH
CO	1507821	Retired
CO	4597099	Active
CO	1980467	HH
CO	2289229	HH
CO	1356456	Retired
CO	4228864	Retired
CO	2946407	HH
CO	436059	HH
CO	1990655	HH
CO	469050	HH
CO	3519169	Active
CO	1230429	Active
CO	974175	HH
CO	2682400	Active
CO	2098083	HH
CO	4188224	Active
CO	4800021	HH
CO	3313451	HH
CO	4985448	HH
CO	1308720	HH
CO	2662749	HH
CO	2602150	Active
CO	4117963	HH
CO	553208	HH
CO	3315746	Active
CO	384503	Active
CO	4826306	Retired
CO	1672086	HH
CO	1466879	Retired
CO	203920	Retired
CO	3548988	Retired
CO	3108472	Active
CO	2218419	Retired
CO	3671523	Retired
CO	562997	HH
CO	1156683	HH
CO	3518960	HH
CO	4636861	Active
CO	719126	Retired
CO	981422	HH
CO	3956030	Active
CO	3876171	Active
CO	3105621	Active
CO	4841037	Active
CO	3313083	HH
CO	4241013	HH
CO	1281789	Retired
CO	2390385	Retired
CO	2311645	Active
CO	2837458	HH
CO	1429819	Retired
CO	4093844	HH
CO	3477935	HH
CO	4543912	HH
CO	4216510	Active
CO	925193	Active
CO	49692	HH
CO	4082612	Active
CO	2781817	Active
CO	4727023	HH
CO	4867060	Active
CO	3850935	Active
CO	2323866	Active
CO	3749454	HH
CO	3884715	Retired
CO	1261970	HH
CO	130229	Retired
CO	500717	Retired
CO	3825502	HH
CO	3724125	Active
CO	4865536	Retired
CO	4333235	HH
CO	3370914	Active
CO	2088641	Retired
CO	2576128	HH
OH	1725212	Retired
CO	4065899	Retired
CO	3453976	HH
CO	1358580	Retired
CO	158034	HH
CO	4836506	Active
CO	3352155	Active
CO	1039729	HH
CO	1071615	HH
CO	1008196	Retired
CO	627702	Active
CO	185803	Active
CO	3230852	Active
CO	1946976	Active
CO	4794915	Active
CO	953401	Active
CO	3433008	Active
CO	3917393	Retired
CO	104767	Active
CO	196530	Retired
OR	1460932	HH
CO	1082648	Active
CO	626615	Active
CO	3563035	HH
CO	4319002	Retired
CO	3076030	Retired
CO	1510989	Retired
CO	4432035	HH
CO	329582	Active
CO	4466382	HH
CO	202898	Active
CO	646454	Active
CO	1688106	Active
CO	2508195	Active
CO	4620023	HH
CO	1144156	Retired
CO	4377499	Active
CO	4436096	Active
CO	2473390	HH
CO	2402578	Active
CO	4081170	Active
CO	1886578	HH
CO	3702548	Active
CO	2672369	Active
CO	3078930	HH
CO	4408266	HH
CO	2325164	Retired
CO	3888874	HH
CO	1076516	Active
CO	1545212	Active
CO	2308659	Active
CO	3353350	Active
CO	17732	HH
CO	2760855	Active
CO	417557	Active
CO	4770817	Active
CO	2991146	Active
CO	3429263	Active
CO	1615200	HH
CO	1710089	Active
CO	1734844	Active
CO	2417318	Active
CO	3424118	HH
CO	1372393	Retired
CO	2385233	HH
CO	3946647	HH
CO	3299781	Retired
CO	2040699	Active
CO	2903732	Retired
CO	3478834	Active
CO	2543313	Retired
CO	1859225	Retired
CO	1227854	HH
CO	1194554	Retired
CO	4966992	HH
CO	1179310	HH
CO	1377537	HH
CO	2588081	Active
CO	4933323	Active
CO	3640920	Retired
CO	510106	HH
CO	5570	HH
CO	953681	Retired
CO	3614320	HH
CO	318480	HH
CO	3506345	HH
CO	1541621	Retired
CO	4552622	Retired
CO	2799228	Retired
CO	2765413	HH
CO	1171162	Retired
CO	2945508	Active
CO	3472770	Retired
CO	2312796	HH
CO	488598	HH
CO	1448568	Retired
CO	4412825	Retired
CO	4874686	HH
CO	1687327	Retired
CO	4561925	HH
CO	4329678	Retired
CO	4392393	HH
CO	4833069	HH
CO	729714	Active
CO	4776286	Active
CO	1688758	Active
CO	3315709	Active
CO	3958760	HH
CO	1373987	Active
CO	942590	Active
CO	3038719	Active
CO	1732084	Active
CO	283630	HH
CO	2105402	Active
CO	2942948	Active
CO	554815	Active
CO	1180419	Active
CO	3021370	Active
CO	2501775	HH
CO	4919227	HH
CO	1342611	Active
CO	1819251	HH
CO	1273504	Active
CO	2592368	Active
CO	1164679	HH
CO	4747645	Active
CO	1539750	Retired
CO	3575041	HH
CO	4110567	HH
CO	4910875	HH
CO	2246144	Retired
CO	4036706	Retired
CO	3353652	HH
CO	2732809	HH
CO	4170880	Active
CO	81686	Active
CO	3109394	Retired
CO	4789677	Retired
CO	1344637	Retired
CO	289555	Retired
CO	1077765	Retired
CO	2623271	Retired
CO	3100891	Retired
CO	4815619	HH
CO	1559711	HH
CO	3770181	HH
CO	970357	Retired
CO	1367406	HH
CO	2915913	Retired
CO	878676	HH
CO	1295378	Retired
CO	2195193	HH
CO	2576380	Retired
CO	908206	HH
CO	4395516	Retired
CO	433062	Retired
CO	1914696	HH
CO	3888374	Active
CO	3862034	Active
CO	2048007	HH
CO	745168	Active
CO	4055576	HH
CO	3248105	HH
CO	3739821	Active
CO	4605522	HH
CO	4281556	HH
CO	3176234	Active
CO	2000607	Active
CO	4936060	Active
CO	1205395	HH
CO	4076079	Active
CO	3055001	Retired
AZ	852657	Active
CO	518302	Active
CO	2592953	HH
CO	199261	Retired
CO	3718992	HH
CO	769255	HH
CO	4533284	HH
CO	1453308	Active
CO	323537	HH
CO	4985646	Active
CO	2118408	HH
CO	1444771	Retired
CO	2046513	Active
CO	1210929	Active
CO	1430771	Retired
CO	4526481	Retired
CO	4917564	Retired
CO	4660681	HH
CO	4461684	Retired
CO	4851444	Retired
CO	1119447	Retired
CO	2264565	Retired
CO	4612229	HH
CO	1969897	Retired
CO	2708554	Retired
CO	3830905	HH
CO	381272	Retired
CO	4169840	Retired
CO	2260888	Retired
CO	2726608	Retired
CO	1249343	Retired
CO	2153928	HH
CO	4414166	Active
CO	1774652	Retired
CO	2917109	Retired
CO	1422389	HH
CO	3020213	HH
CO	2018284	HH
CO	1562373	Retired
CO	1737327	HH
CO	4874655	Retired
CO	4408872	Active
CO	1694541	HH
CO	834282	HH
CO	4825225	Active
CO	4135076	HH
CO	3579117	Active
CO	2410167	Retired
CO	2798925	HH
CO	4135855	Active
CO	3607509	HH
CO	2079268	Active
CO	1647782	Active
CO	540989	Active
CO	4753951	HH
CO	433104	HH
CO	4830232	Active
CO	1085574	Retired
CO	2543036	Retired
CO	1392565	Active
CO	1750124	Retired
CO	2660865	Retired
CO	1690961	HH
CO	2818662	Retired
CO	2890394	HH
CO	3945665	Retired
CO	1975107	Active
CO	134411	Active
CO	3817587	HH
CO	1752024	HH
CO	2865173	Retired
CO	769431	Retired
CO	2570675	Retired
CO	1685195	Retired
CO	2552048	Active
CO	4793524	Active
CO	1225705	Retired
CO	235414	Retired
CO	4574218	Active
CO	4250133	Active
CO	3146444	HH
CO	433738	HH
CO	4469957	HH
CO	3278499	Active
CO	552612	Retired
CO	833782	Retired
CO	2973035	Retired
CO	3113477	Active
CO	295026	Active
CO	2692653	Retired
CO	739517	HH
CO	3368531	Retired
CO	4503795	Retired
CO	2671102	Retired
CO	4775204	HH
CO	1207308	HH
CO	4826272	Retired
CO	4513925	Retired
CO	1518759	Active
CO	3994106	Active
CO	895787	HH
CO	487123	HH
CO	2807732	HH
CO	3915222	HH
CO	3292262	HH
CO	4646516	Retired
CO	963375	HH
CO	2198152	HH
CO	3965918	HH
CO	1216779	Active
CO	3585280	Retired
CO	4213886	HH
CO	1016308	Retired
CO	1976559	HH
CO	1529271	Retired
CO	1975251	HH
CO	494842	HH
CO	2485350	Active
CO	3599260	Active
CO	4297478	Retired
CO	309222	HH
CO	1637792	Retired
CO	1834160	Retired
CO	3143326	Active
CO	1039620	Active
CO	611236	HH
CO	3273402	HH
KS	1541031	Retired
CO	3011617	Active
CO	707128	Active
CO	3317198	Active
CO	3503718	Retired
CO	3913205	HH
CO	93841	Retired
CO	1612831	Retired
CO	1612831	Retired
CO	3430595	Active
CO	248607	Retired
CO	22519	Active
CO	2411781	Active
CO	4032952	Active
CO	1920407	Active
CO	4939581	Active
CO	4498951	Active
CO	822525	HH
CO	2765267	Active
CO	2662222	Active
CO	4804703	Active
CO	3976247	Active
CO	4375889	HH
AZ	1276075	Retired
CO	2957220	Active
CO	1548768	Retired
CO	600451	HH
CO	4979876	HH
CO	2826092	HH
CO	4757560	Active
CO	220552	HH
CO	4986029	Retired
CO	4669922	Retired
CO	2141586	Active
CO	4809949	Active
CO	1431300	Retired
CO	3458555	HH
CO	4408314	Active
CO	3929658	Active
CO	3993348	Active
CO	1936982	HH
CO	696464	HH
CO	2111627	Retired
CO	1031441	Retired
CO	2136566	Retired
CO	2335329	HH
CO	3718854	HH
CO	4420229	Active
CO	1284299	Active
CO	1712957	HH
CO	1143229	Active
CO	4539678	HH
CO	331999	HH
CO	3314265	Active
CO	883680	Active
CO	3995028	Active
CO	3669681	Active
CO	1231465	HH
CO	1520192	Retired
CO	2234736	Active
CO	3074914	Retired
CO	2670248	Retired
CO	2838442	HH
CO	617646	Active
CO	3008735	Retired
CO	2828653	Active
CO	2609855	Active
CO	3886018	HH
CO	1618070	HH
CO	818219	Retired
CO	2791495	Active
CO	1184349	Active
CO	2188731	Active
CO	1152853	Retired
CO	3655711	Active
CO	1309604	Retired
CO	2638958	Retired
CO	1034401	HH
CO	2056611	Active
CO	326053	Retired
CO	1343281	HH
CO	2346292	Active
CO	3184181	Retired
CO	1185989	Retired
CO	3870348	HH
CO	601680	Active
CO	2222414	Retired
CO	1823887	Retired
CO	4336929	Active
CO	1006226	HH
CO	3596324	Retired
CO	422480	HH
CO	556134	HH
CO	49335	HH
CO	903231	HH
CO	4275813	HH
CO	2442559	HH
CO	2579099	HH
CO	3702193	HH
CO	2982646	Active
CO	2523299	HH
CO	705343	HH
CO	486853	Active
CO	3089669	HH
CO	3794239	HH
CO	2237296	HH
CO	4757886	HH
CO	944839	HH
CO	3046118	Retired
CO	84550	HH
CO	2492551	Active
CO	4038630	Active
CO	3443124	HH
CO	3328236	HH
CO	1838918	Retired
CO	1753566	HH
CO	3032331	Active
CO	2018914	Active
CO	3196457	Active
CO	4405894	Active
CO	855476	Active
CO	3776102	HH
CO	702226	HH
CO	2363771	Active
CO	3183949	Active
CO	4097951	HH
CO	2778688	HH
CO	2458489	Active
CO	2744668	Active
CO	4181013	HH
CO	1297259	Active
CO	2607278	HH
CO	236606	Active
CO	3316492	Active
CO	3622842	Retired
CO	3106184	Active
CO	1779672	Active
CO	659078	Active
CO	3349754	Active
CO	2714337	HH
CO	3923076	HH
CO	2823127	Retired
CO	1191631	Retired
CO	3952448	Active
CO	3226032	HH
CO	2522159	Active
CO	199956	Retired
CO	4328126	Retired
CO	3785179	Retired
CO	2485007	Active
CO	1861905	Active
CO	198366	Retired
CO	1285287	HH
CO	388166	Retired
CO	41959	Retired
CO	691068	Retired
CO	2656878	Retired
CO	4409728	Retired
CO	635711	Retired
CO	3172021	HH
CO	2720373	Retired
CO	799333	Retired
CO	4076496	HH
CO	4179384	Retired
CO	4361688	HH
CO	3735316	HH
CO	3511121	HH
CO	4708470	Retired
CO	1217320	HH
CO	2478210	HH
CO	3510743	Retired
CO	6551	HH
CO	418154	HH
CO	968799	Active
CO	2080502	HH
CO	1965031	HH
CO	3823492	HH
CO	1262831	Active
CO	4292855	HH
CO	4549840	Active
CO	298135	Active
CO	4815482	Active
CO	2610666	Active
CO	87045	HH
CO	912680	Active
CO	732395	Active
CO	3879885	Active
CO	4794566	Retired
CO	1388842	HH
CO	3055558	HH
CO	4339345	Retired
CO	3348950	HH
CO	1899760	HH
CO	2492639	Retired
CO	3904307	Retired
CO	2902936	Active
CO	1660157	Active
CO	4615877	Active
CO	2232909	HH
TX	1426204	Retired
CO	999717	HH
CO	780143	HH
CO	2946312	HH
CO	1301984	Retired
CO	2490653	Retired
CO	2414588	Active
CO	1028630	Retired
CO	1232598	HH
CO	3482394	Retired
CO	3482394	Retired
CO	2369843	HH
CO	46924	Active
CO	245830	HH
CO	3226827	Active
CO	3665306	Active
CO	1637497	Active
CO	2400217	Active
CO	656064	Retired
CO	2694600	Retired
CO	2694600	Retired
CO	1477361	Active
CO	4604745	Retired
CO	3820727	Active
CO	4598418	HH
CO	1482419	HH
CO	1166709	Retired
CO	1240893	HH
CO	273695	Retired
CO	2431185	Retired
CO	3146873	Retired
CO	3054054	Retired
CO	572416	Retired
CO	4674925	Retired
CO	652907	Retired
CO	1583803	Active
CO	3405941	Retired
CO	3405941	Retired
CO	2051722	HH
CO	3938748	Retired
CO	4408722	Retired
CO	4753395	Active
CO	3531456	HH
CO	4936451	Retired
CO	1520098	HH
CO	3533915	Active
CO	3800889	HH
CO	2281961	Active
CO	2541105	Active
	2150863	HH
CO	2205352	Active
CO	642741	Active
CO	4194458	Active
CO	637229	HH
CO	4091700	Active
CO	4697069	Retired
CO	927620	Active
CO	3563722	Active
CO	1646775	HH
CO	911258	HH
CO	3600111	HH
CO	1097471	Retired
CO	419302	Retired
CO	4261484	Retired
CO	1336818	Retired
CO	2333549	Retired
CO	4541932	HH
CO	4040871	Retired
CO	1336876	HH
CO	2907002	HH
CO	3236383	Retired
CO	2726863	HH
CO	1195417	Retired
CO	3833406	HH
CO	1784521	Retired
CO	2226918	HH
CO	2133568	HH
CO	4011749	Active
CO	2463334	HH
CO	390684	Retired
CO	3975749	Active
CO	2570725	Retired
CO	1222100	HH
CO	4081423	HH
CO	1740889	HH
CO	3812024	Retired
CO	1200616	Retired
CO	999418	Active
CO	1147072	Active
CO	652993	Active
CO	4295837	Active
CO	3643866	Retired
CO	3749475	HH
CO	4411549	HH
CO	4231044	Active
CO	2735840	HH
CO	3016078	Retired
CO	1128885	Retired
CO	876867	Retired
CO	2692045	Retired
CO	1775526	HH
CO	669646	HH
CO	2639952	HH
CO	4634958	Retired
CO	2001995	HH
CO	1263738	Retired
CO	2092357	Retired
CO	2012278	HH
CO	1791382	Retired
CO	1063148	HH
CO	1299149	Retired
CO	1567207	Active
CO	4665027	Active
CO	3129159	HH
CO	4253635	Active
CO	4556872	Active
CO	1859825	Active
CO	1500905	Active
CO	1892944	HH
CO	3262695	HH
	1134583	HH
CO	3581995	Active
CO	3066834	Active
CO	2984681	Active
CO	879766	Retired
CO	28980	Retired
CO	2167371	HH
CO	3582749	HH
CO	4897790	Retired
CO	4991157	Active
CO	3760996	Active
CO	2910256	Active
CO	4214663	HH
CO	1704006	HH
CO	2609359	HH
CO	4978122	Retired
CO	4978122	Retired
CO	1196708	Retired
CO	4517107	Retired
CO	144700	Active
CO	3413073	Active
CO	2620168	Active
CO	416242	Active
CO	3586313	HH
CO	1209206	Active
CO	1898433	Retired
CO	3044865	HH
CO	3051191	Active
CO	2542895	HH
CO	1442976	Active
CO	2014453	Retired
CO	1028233	Active
CO	4210882	Active
CO	1967212	Active
CO	1759860	HH
CO	922874	HH
CO	2085880	Active
CO	117235	Active
CO	907744	Retired
CO	2379787	HH
CO	3931969	Retired
CO	4381933	HH
CO	1940084	Active
CO	2450537	HH
CO	4314100	Active
CO	194936	HH
CO	3415955	Active
CO	2654201	Active
CO	719241	Retired
CO	1217089	Active
CO	366284	HH
CO	2308506	Retired
CO	2308506	Retired
CO	4366659	Retired
CO	4289163	HH
CO	4637241	Retired
CO	4104925	Retired
CO	4059345	Active
CO	2105972	HH
CO	944097	Retired
CO	1482922	HH
CO	3923197	HH
CO	2214675	Retired
CO	3505430	Retired
CO	2292748	Retired
CO	4457957	Active
CO	4457957	HH
CO	2884054	Retired
CO	3670274	Active
CO	721811	Retired
CO	3986033	Active
CO	446952	Retired
CO	3733261	Retired
CO	1683259	HH
CA	1312165	HH
CO	3274817	HH
CO	270119	HH
CO	807645	Active
CO	1561257	Active
CO	539397	Active
CO	2221818	Active
CO	1296659	Active
CO	214706	Active
CO	4449201	Active
CO	4679119	HH
CO	1250234	HH
CO	4161503	HH
CO	4479091	Active
CO	1508889	HH
CO	1508889	Active
CO	1325931	HH
CO	3626452	Active
CO	330748	HH
CO	1712609	HH
CO	3376998	HH
CO	3376998	Active
CO	4738154	Active
CO	1514078	Retired
CO	4921717	Active
CO	415002	HH
CO	291581	Retired
CO	1881273	Active
CO	1389313	Active
CO	792555	HH
CO	503385	HH
CO	3627271	HH
CO	1978373	HH
CO	393452	Active
CO	3558770	HH
CO	2862273	HH
CO	2277042	HH
CO	3673557	HH
CO	1171520	Retired
CO	664870	Retired
CO	3375110	Retired
CO	496523	Retired
CO	3369651	Retired
CO	1984675	Retired
CO	3763073	Retired
CO	4723946	HH
CO	4161327	Active
CO	4161327	HH
CO	196277	HH
CO	2346549	Active
CO	1394630	Active
CO	2330346	HH
CO	3647189	HH
CO	2431998	Active
CO	3474567	HH
CO	2068497	Active
CO	1107582	HH
CO	1035990	HH
CO	28063	HH
CO	1330490	HH
